dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Allstate Claims Severity,xgboost,mi,0.5,0.6191525581963243,3717320.578615343,0.023262324923952946,0.610223889676777,1927.401618801785,1.1582982401441162,1.452485142807321,0.0443769357943286,2.6575481164851227
Allstate Claims Severity,xgboost,mi,0.75,0.6167821184084247,3637521.5035713003,0.02514101558725801,0.6084370097621438,1909.1701827877412,0.574099616606081,1.6903104621202176,0.0598706556723746,2.3242807343986738
Allstate Claims Severity,xgboost,mi,1.0,0.6136772348452453,3653419.0489512244,0.02522132066785864,0.601703133208413,1910.6367170604037,0.0,1.8982941118030188,0.07629223813613252,1.976873670401983
Allstate Claims Severity,xgboost,rfe,0.25,0.6523851284472798,3870387.82706445,0.029620348400345775,0.638638462183227,1966.6891142189902,0.41407612586626785,1.271857952598172,0.035666897923996,1.7237409585349572
Allstate Claims Severity,xgboost,rfe,0.5,0.6253081482327941,3710558.877033567,0.027545800052587263,0.6106391880388244,1925.616019214178,0.41407612586626785,1.5589398104775076,0.04266591380195066,2.0182002574787474
Allstate Claims Severity,xgboost,rfe,0.75,0.6214925984236278,3682150.339571615,0.029495156004993625,0.6134958256579915,1915.8561948346212,0.20777913329263525,1.741688241451911,0.061399435018636615,2.010866809763183
Allstate Claims Severity,xgboost,rfe,1.0,0.6136772348452453,3653419.0489512244,0.02522132066785864,0.601703133208413,1910.6367170604037,0.0,1.9444999480697638,0.07996809366159137,2.026779019452321
Allstate Claims Severity,xgboost,shap,0.25,0.6552160923544964,3824417.260686407,0.03942941602085849,0.6427469533501926,1942.443990809889,0.859045264446843,0.9201452790049613,0.03629172026315126,1.815482263714956
Allstate Claims Severity,xgboost,shap,0.5,0.6209681775125085,3602959.16072382,0.027249500476241702,0.6102044884477491,1897.1137986598983,0.8624693918664594,0.9661147427727781,0.04444054729246243,1.8730246819317
Allstate Claims Severity,xgboost,shap,0.75,0.6181055691090888,3656052.121010168,0.033016873251962835,0.6155461521060556,1916.1208720226048,0.4397849752911769,1.0957154175183228,0.060287815477847756,1.5957882082873474
Allstate Claims Severity,xgboost,shap,1.0,0.6125724326103932,3667456.3666177276,0.02836115184566711,0.599836251386497,1924.332573251227,0.0,1.2295698752896953,0.07805989268551486,1.3076297679752102
Allstate Claims Severity,xgboost,tree,0.25,0.6556287356353,3847125.583668153,0.036381627778119305,0.6467846919962392,1960.5746843571446,0.8392710183436672,0.9061747533967719,0.03615919765628249,1.7838534313370473
Allstate Claims Severity,xgboost,tree,0.5,0.6183212501518351,3670353.9210071773,0.02676292716398415,0.6073734934648495,1915.0814933950603,0.8392710183436672,0.96919138567755,0.044624531602797356,1.8554797841468826
Allstate Claims Severity,xgboost,tree,0.75,0.6151145622729542,3701100.134271813,0.025174359312722765,0.6137733729661805,1932.6172183917972,0.4125293449663688,1.116686198386156,0.06090072852490093,1.5901162718774258
Allstate Claims Severity,xgboost,tree,1.0,0.6136772348452453,3653419.0489512244,0.02522132066785864,0.601703133208413,1910.6367170604037,0.0,1.243127998271181,0.07722264494514089,1.3229112986591645
Bike Sharing,extratrees,mi,0.25,1.0269017167570693,13049.257378292412,0.08557356359026486,1.0185107422780384,114.19833259853289,1.4480784984165802,0.7202987965231296,0.14557727363659065,2.3169305079383777
Bike Sharing,extratrees,mi,0.5,0.9497955291418304,13187.959217476957,0.08113142683131912,0.9382264707946638,114.70239475593453,1.373188426818233,1.4716188938415145,0.1759565696632489,3.072787860739045
Bike Sharing,extratrees,mi,0.75,0.4206547545627293,3153.208510639363,0.173982315558863,0.3474918881844643,53.95498735214703,1.4480784984165802,1.9773489904147572,0.18386251046322283,3.685005559953861
Bike Sharing,extratrees,mi,1.0,0.30179403112898995,1650.5631098529363,0.020448593105630082,0.297337672098438,40.8253861988274,0.0,2.214040064061992,0.17125715348054651,2.454689138040412
Bike Sharing,extratrees,rfe,0.25,0.9238207590818732,9854.047903118731,0.06807927177582924,0.9209433644480387,99.22559736697393,0.05007063103490505,0.6438085616205353,0.13494019373902116,0.8339641461125575
Bike Sharing,extratrees,rfe,0.5,0.8251471422401022,10443.20995463458,0.04680853465735817,0.821869559991196,102.04754818698768,0.04687719693407412,1.350757780104177,0.15551633701659737,1.6016490422945935
Bike Sharing,extratrees,rfe,0.75,0.3388605479524417,2095.723959379242,0.01982076959234435,0.336278232727746,45.73482575193711,0.05007063103490505,1.8872026315319816,0.17384547215769997,2.179435955696972
Bike Sharing,extratrees,rfe,1.0,0.30179403112898995,1650.5631098529363,0.020448593105630082,0.297337672098438,40.8253861988274,0.0,2.214040064061992,0.17125715348054651,2.454689138040412
Bike Sharing,extratrees,shap,0.25,0.9214644899279557,9860.520249095549,0.0681337105736727,0.916992688220805,99.25258240148938,251.086506749643,0.6373110009811352,0.14508022104040716,251.87033140784246
Bike Sharing,extratrees,shap,0.5,0.4357723412928714,4220.977303869162,0.02414487122100158,0.431024976625494,64.96884888429022,234.98954949380249,1.2567326206201688,0.16652457260061052,236.4378431395639
Bike Sharing,extratrees,shap,0.75,0.3316974446669652,2211.009720111777,0.016457298594267766,0.330814029779279,46.97885819044256,251.086506749643,1.9087206868408249,0.17992499443702395,253.2559214752808
